Date,Close,High,Low,Open,Volume,returns,MA_20,volatility,autocorr,regime_autocorr
2019-02-28,250.626358,251.3188627,250.302611,250.8781704,69268300.0,-0.0018623946051603,247.289815525,0.005225210181567,-0.04126578428453352,Mean_Reversion
2019-03-01,252.1911774,252.6048632,250.7522379,252.2091542,78880500.0,0.0062436345980816,247.76151276,0.0050818089915436,-0.05768319470795344,Mean_Reversion
2019-03-04,251.273819,253.4951742,248.971527,253.252364,106494600.0,-0.0036375515172958,248.181499485,0.0052246480560331,-0.08996894811220149,Mean_Reversion
2019-03-05,250.9320679,251.5975934,250.3834875,251.3997389,59114600.0,-0.0013600744453206,248.49896393500003,0.0051106593813304,-0.09266997459265261,Mean_Reversion
2019-03-06,249.4122467,251.058043,249.0884997,251.0490409,75039800.0,-0.0060567037633694,248.68917771,0.0053146073744393,-0.038725938254561804,Mean_Reversion
2019-03-07,247.3257599,249.106423,246.480384,248.9625263,94885100.0,-0.0083656148709877,248.791250615,0.0056821272364045,0.041458307608491285,Trending
2019-03-08,246.8311157,247.0019913,244.9964948,245.4641384,85795800.0,-0.001999970404215,248.985504915,0.0052176606530801,0.10119064025591966,Trending
2019-03-11,250.4104919,250.5723654,247.5236383,247.5506172,65098900.0,0.0145013167802976,249.34388733,0.0060515982281813,0.023049071786147565,Trending
2019-03-12,251.3547974,251.8764263,250.779238,250.9680904,79667500.0,0.0037710300907722,249.74274216,0.0060686913168061,0.08601287154791178,Trending
2019-03-13,253.0185547,253.9538695,252.0832399,252.2451408,80639200.0,0.0066191587238828,250.06829987,0.0056036245586487,0.0744290121653121,Trending
2019-03-14,252.8566895,253.4682298,252.4160247,253.0455419,67518400.0,-0.0006397364817452,250.345745855,0.0056006501588497,0.068124345524341,Trending
2019-03-15,254.1059113,254.9188712,253.2206722,253.410384,81309000.0,0.0049404340556313,250.71308137,0.0056044997824607,0.12315452817880361,Trending
2019-03-18,255.027359,255.3254619,254.0969659,254.3227898,62199800.0,0.0036262348061322,250.99204026,0.0051815417788994,0.1378996624699944,Trending
2019-03-19,255.0904846,256.860935,254.1962315,256.0931563,90268100.0,0.0002475248155631,251.25257111,0.0051829453725481,0.1317424854741295,Trending
2019-03-20,254.3227081,256.0841445,253.2116729,254.8737324,84609200.0,-0.0030098202259638,251.44952850500005,0.0052547398710732,0.14745646207000734,Trending
2019-03-21,257.1951904,257.6016566,253.455536,253.5007173,79550400.0,0.0112946355496912,251.83462372,0.0056426689954117,0.10525448277529753,Trending
2019-03-22,252.2452087,256.3551913,252.1819715,255.8312921,122659300.0,-0.0192460119192026,251.894878385,0.0071918816895735,-0.19678896762264203,Mean_Reversion
2019-03-25,252.0554962,253.0942802,250.7908885,251.9019239,85575200.0,-0.000752095554075,251.92856674,0.0071904424030048,-0.13146121214122572,Mean_Reversion
2019-03-26,253.9343414,254.8918321,252.5252031,253.8169086,68125900.0,0.0074540933577151,252.065188595,0.0073680413127312,-0.1357757149725797,Mean_Reversion
2019-03-27,252.6064911,254.5124582,251.0528223,253.9252943,72224700.0,-0.0052291088030048,252.140813445,0.0074795223879459,-0.171564604665366,Mean_Reversion
2019-03-28,253.5638885,254.015536,252.0824993,253.2387156,56238500.0,0.0037900744190337,252.28768996999997,0.0074992081677474,-0.1765437865488996,Mean_Reversion
2019-03-29,255.1628113,255.4879843,253.9523991,255.081518,82186800.0,0.0063057985482817,252.436271665,0.0075016786962587,-0.13473046052320767,Mean_Reversion
2019-04-01,258.1888123,258.4869151,256.8971069,257.168112,77617900.0,0.0118590988419635,252.78202133,0.0078325858531089,-0.08163426384152887,Mean_Reversion
2019-04-02,258.3153381,258.5502037,257.5204339,258.3785754,40070400.0,0.000490051442868,253.15118484,0.0078093185676015,-0.10880411186856782,Mean_Reversion
2019-04-03,258.7218018,259.9322139,258.1165819,259.5347619,68243200.0,0.0015735174805711,253.616662595,0.0076054661931173,-0.19526517826792067,Mean_Reversion
2019-04-04,259.4082947,259.6612162,258.3514548,259.0469821,48997500.0,0.0026534018208899,254.220789335,0.0072146810297706,-0.2566128641869599,Mean_Reversion
2019-04-05,260.6639404,260.7181359,259.7877429,260.076804,58621700.0,0.0048404223213145,254.91243057000003,0.0071563973694288,-0.21894836065738546,Mean_Reversion
2019-04-08,260.8626099,260.9710009,259.5799186,260.239334,53566300.0,0.0007621671785331,255.43503647000003,0.0066078499746499,-0.2659316233263957,Mean_Reversion
2019-04-09,259.5257263,260.2212537,258.9747295,259.8960806,66142300.0,-0.0051248571058631,255.843582915,0.0067841993839352,-0.26234300388776166,Mean_Reversion
2019-04-10,260.4109802,260.5013153,259.525741,259.9412491,52601500.0,0.0034110448802933,256.21320419,0.0066972152802623,-0.2623586594137456,Mean_Reversion
2019-04-11,260.3386841,260.9077644,259.7696037,260.8987227,55093100.0,-0.0002776230861863,256.58730392,0.0066917205122997,-0.2591146662190253,Mean_Reversion
2019-04-12,262.1001282,262.3801475,260.3838729,261.9555976,69727800.0,0.0067659714348227,256.987014765,0.0067535642279974,-0.2770197042798983,Mean_Reversion
2019-04-15,261.9285278,262.2717844,261.1245818,262.1724076,49596700.0,-0.0006547131479044,257.33207320500003,0.0067528616351833,-0.2826355545310231,Mean_Reversion
2019-04-16,262.1001282,262.8679346,261.5039501,262.8137391,52153200.0,0.0006551420780367,257.682555385,0.0067499492144385,-0.2896270322106087,Mean_Reversion
2019-04-17,261.4586792,263.2471852,261.0431438,263.2200874,58268300.0,-0.0024473433279303,258.03935394,0.0067318523018843,-0.24868060210163545,Mean_Reversion
2019-04-18,261.9736328,262.2446379,260.7451647,262.0459119,68708500.0,0.0019695410440212,258.27827606,0.0063213376662815,0.013689974317240595,Trending
2019-04-22,262.1994629,262.3530352,261.1155253,261.2058603,40160100.0,0.0008620337000571,258.77598877,0.0041772824593827,-0.15787934713943882,Mean_Reversion
2019-04-23,264.5570374,264.7919029,262.3349394,262.5697774,52246600.0,0.0089915306230019,259.40106583,0.0044079473390658,-0.13466585678738233,Mean_Reversion
2019-04-24,263.9698792,264.8099368,263.8253487,264.4757221,50392900.0,-0.0022194011762849,259.90284271999997,0.0043583868983462,-0.11012357926403736,Mean_Reversion
2019-04-25,263.8074341,264.4668497,262.615105,263.8706714,57770900.0,-0.0006153925610462,260.46288987,0.0040710999091896,-0.03640831349110746,Mean_Reversion
2019-04-26,265.0358582,265.1081096,263.0756954,263.8525436,50916400.0,0.0046565181310787,261.036488355,0.0040936878705198,-0.0827081528052498,Mean_Reversion
2019-04-29,265.4512939,265.9752205,265.035786,265.126121,57197700.0,0.0015674697862448,261.55091248499997,0.0039805034763913,-0.2817925953866118,Mean_Reversion
2019-04-30,265.586853,265.8759141,263.6899551,265.1081077,81111700.0,0.0005106740977163,261.92081451999996,0.0032387563246779,-0.29636672444203527,Mean_Reversion
2019-05-01,263.5904846,266.4268439,263.5814428,266.2190761,71671900.0,-0.0075168193660549,262.184571845,0.0038049403420395,-0.2146065729317887,Mean_Reversion
2019-05-02,263.0214233,264.3944493,261.5219504,263.4730708,65030200.0,-0.0021588840768042,262.39955292,0.0038672887744946,-0.08751669266567066,Mean_Reversion
2019-05-03,265.5958862,265.8759055,263.1298804,264.5029068,56543700.0,0.009788035011367,262.708932495,0.0043438822092144,-0.18774398425590066,Mean_Reversion
2019-05-06,264.5028687,264.9454744,260.9619399,261.2780986,107198100.0,-0.0041153404732214,262.90087890999996,0.0044087044743118,-0.28714803262339894,Mean_Reversion
2019-05-07,260.0857544,262.6872487,258.1707732,262.0910706,144729900.0,-0.016699683907814,262.862036135,0.0058857997292985,-0.036477760636401804,Mean_Reversion
2019-05-08,259.7244568,261.4407121,259.1282787,259.7244568,91568300.0,-0.0013891479786484,262.87197266000004,0.0057773089378046,0.0401646151099914,Trending
2019-05-09,258.9385376,259.5437298,255.9034522,257.6468324,103471100.0,-0.0030259730241929,262.79835053,0.0057597319065358,0.04696480006554605,Trending
2019-05-10,260.2392273,260.9979916,255.0001011,257.9990464,112429300.0,0.0050231599825021,262.79337769,0.0058799552099434,0.024043542828126947,Trending
2019-05-13,253.6993866,256.0750565,252.859329,255.108552,127290500.0,-0.0251301111206457,262.37334061,0.0079193695132841,-0.13663455909700145,Mean_Reversion
2019-05-14,255.9937897,257.5294022,254.5936935,254.7201405,77003200.0,0.0090437865489108,262.076603705,0.0082693336094695,-0.2975812455098649,Mean_Reversion
2019-05-15,257.4932861,258.1346179,254.1510834,254.3588512,73956400.0,0.0058575499107116,261.8462616,0.008408515672888,-0.2237667826765736,Mean_Reversion
2019-05-16,259.8780212,261.2419781,258.1256265,258.197878,76749600.0,0.009261348659296,261.76722870000003,0.0086943682274522,-0.16164975260041148,Mean_Reversion
2019-05-17,258.197876,260.6909794,257.5475024,257.5655859,100353000.0,-0.006465130033859,261.57844086,0.0087842772484678,-0.19727073546172955,Mean_Reversion
2019-05-20,256.4906921,258.3062968,255.7409417,256.5900414,62877600.0,-0.0066119207735079,261.29300231999997,0.0088733603223644,-0.1880335435451562,Mean_Reversion
2019-05-21,258.803009,259.1823774,257.9358262,258.1887476,46847100.0,0.0090152078466008,261.00530089999995,0.0088747737556685,-0.2183773761752453,Mean_Reversion
2019-05-22,258.0081482,258.9656387,257.529403,257.8455617,49482500.0,-0.0030712965937732,260.70721435,0.0088826659774999,-0.22380822823617963,Mean_Reversion
2019-05-23,254.8556061,255.8221106,253.4374266,255.7769568,98733800.0,-0.0122187695310934,260.25962295,0.0092215579474239,-0.2060813001140073,Mean_Reversion
2019-05-24,255.4337158,256.7164066,254.8104402,256.3008712,55268100.0,0.0022683813350103,259.77951583,0.009150322506538,-0.24371452994781923,Mean_Reversion
2019-05-28,253.0581055,256.6712857,253.0400495,255.7137951,70029400.0,-0.0093003004421704,259.15985641000003,0.0092616230019471,-0.26506083459873825,Mean_Reversion
2019-05-29,251.3599091,252.3444974,249.950771,251.9380311,104972900.0,-0.0067106975160691,258.448509215,0.0092850959751693,-0.23512776759722698,Mean_Reversion
2019-05-30,252.046524,252.9588613,250.9445025,252.1187756,62523800.0,0.0027316006854809,257.871311185,0.0092885233814776,-0.2464785036612752,Mean_Reversion
2019-05-31,248.6500702,250.3211719,248.6229724,249.4901557,86862800.0,-0.0134755034352309,257.15274353,0.0096247831473983,-0.28264329483495254,Mean_Reversion
2019-06-03,248.0177307,249.8062373,246.6808441,248.6861602,96428000.0,-0.0025430899717477,256.273835755,0.0091624319054835,-0.2863780615331973,Mean_Reversion
2019-06-04,253.4013824,253.5368712,249.8694952,250.3211427,77231900.0,0.0217067210670998,255.71876144000004,0.0107370561410665,-0.2525147931816898,Mean_Reversion
2019-06-05,255.5963287,255.6234265,253.2116444,255.0272485,71169700.0,0.0086619349871392,255.494290155,0.0104131396061091,-0.10852234648009351,Mean_Reversion
2019-06-06,257.2584534,257.9359247,255.2441228,255.8944964,69430400.0,0.0065029286940616,255.37098998499997,0.0105391532247705,-0.07245094552771403,Mean_Reversion
2019-06-07,259.8328247,260.9167898,258.1075278,258.2791561,74272200.0,0.0100069454121969,255.41570433999996,0.0107701903387996,-0.030994399641701333,Mean_Reversion
2019-06-10,261.025238,262.6963398,260.934903,261.3865506,60799100.0,0.0045891557441857,255.455004875,0.0107604524119563,0.058510537622893155,Trending
2019-06-11,260.9620056,263.2202439,260.3116319,262.8498895,58641300.0,-0.0002422463072325,255.818135825,0.0089656497271861,0.20155662047091905,Trending
2019-06-12,260.5012512,261.2871134,259.9863665,260.727075,47096300.0,-0.001765599551324,256.04350889999995,0.0088082321289196,0.18290699425211202,Trending
2019-06-13,261.5762329,261.9375731,260.7090772,261.4136464,48945200.0,0.0041265893927497,256.24765624,0.0087654585742281,0.15062625124160964,Trending
2019-06-14,261.2871094,261.8923016,260.5193031,261.2871094,52324700.0,-0.0011053125767374,256.31811065,0.0085439353176695,0.19723326774300398,Trending
2019-06-17,261.3864746,262.1542809,261.2148464,261.5219633,39205700.0,0.0003802912444785,256.47754058,0.0083942526606961,0.16572262608597738,Trending
2019-06-18,264.1234741,265.1803415,262.8498248,263.2111648,85434800.0,0.0104710831124237,256.85917968,0.0084853642692119,0.20997950425866393,Trending
2019-06-19,264.7196655,265.2526063,263.2834296,264.2589762,78674400.0,0.0022572450329587,257.155012505,0.0083030027386354,0.2430717642725462,Trending
2019-06-20,267.2489014,267.6553952,264.7829231,267.4115155,116570000.0,0.0095543936836834,257.617050165,0.0084428741371117,0.21557631440688427,Trending
2019-06-21,266.8604126,268.2400891,266.6425762,266.9784165,83309500.0,-0.0014536591094103,258.21729049,0.0078228363198532,0.19955314053897016,Trending
2019-06-24,266.5336914,267.3868932,266.3793722,267.0692244,47582700.0,-0.0012243149773201,258.77228927,0.007863236451815,0.22154458012629707,Trending
