Date,Close,High,Low,Open,Volume,returns,MA_20,volatility,regime
2019-01-31,242.7572327,243.2428807,240.3650008,240.5808596,104012100.0,0.008782991360859,234.366833495,18.682616091393733,Mean_Reversion
2019-02-01,242.8740845,243.8993382,242.0826663,242.9550212,85782500.0,0.0004813524964852,235.52922287,15.64010061790698,Mean_Reversion
2019-02-04,244.5827789,244.6457389,242.2445059,242.9190061,60744800.0,0.0070353096894535,236.409218595,11.551876471377533,Trending
2019-02-05,245.6079712,245.9137413,244.5107833,245.0144078,79552800.0,0.0041915964182384,237.250990295,11.451186529527332,Trending
2019-02-06,245.2843018,245.8239075,244.5468689,245.3292849,58347800.0,-0.0013178293783324,237.969106295,11.360833742658748,Trending
2019-02-07,242.9460297,244.2140661,241.2822568,243.6654857,95482000.0,-0.0095329056235592,238.51635131999996,12.180485727372869,Trending
2019-02-08,243.2428436,243.3417572,240.8685889,241.6959882,75788900.0,0.0012217277243282,239.037516785,12.178053558668067,Trending
2019-02-11,243.3777008,244.1601168,242.8470972,243.8993298,68021400.0,0.000554413844223,239.56092911,12.174840108544117,Trending
2019-02-12,246.5074005,246.8851053,244.9245642,244.9965263,72270200.0,0.0128594349018518,240.31187439,12.313818638493723,Trending
2019-02-13,247.3077698,248.1531457,246.9210629,247.3437508,65277200.0,0.0032468368023701,240.97018509,11.91976954350626,Trending
2019-02-14,246.759201,247.8923704,245.4011983,246.2195953,83234400.0,-0.0022181624153726,241.572737885,12.050602917414057,Trending
2019-02-15,249.4481812,249.4841622,248.3330162,248.5398453,97088700.0,0.0108971831206408,242.220704655,12.289618469080244,Trending
2019-02-19,249.8798676,250.5363636,248.6387827,248.6477848,59120800.0,0.0017305654341648,242.73287582999995,11.63352370337631,Trending
2019-02-20,250.3835602,250.8422293,249.3403295,249.8439543,76610800.0,0.0020157390222661,243.43210984,10.066613718292441,Trending
2019-02-21,249.4932861,250.1048268,248.530992,249.7450986,64214700.0,-0.0035556411902157,244.06210099,10.322855709677425,Trending
2019-02-22,251.0401154,251.2379425,249.4752555,250.113775,78114600.0,0.0061998834685275,244.7631363,10.367157238950762,Trending
2019-02-25,251.3817291,252.991544,251.3007924,252.4699426,69030700.0,0.0013607932718469,245.380974585,10.166186776755005,Trending
2019-02-26,251.2019043,252.0832338,250.8241721,251.0310287,56844100.0,-0.0007153455449758,246.08065415,9.528880975532362,Trending
2019-02-27,251.0939941,251.44472,249.547139,250.4824263,56921600.0,-0.0004295755651243,246.7906807,9.481430290076107,Trending
2019-02-28,250.626358,251.3188627,250.302611,250.8781704,69268300.0,-0.0018623946051603,247.289815525,8.294764013081364,Trending
2019-03-01,252.1911774,252.6048632,250.7522379,252.2091542,78880500.0,0.0062436345980816,247.76151276,8.067121681173784,Trending
2019-03-04,251.273819,253.4951742,248.971527,253.252364,106494600.0,-0.0036375515172958,248.181499485,8.293871666460383,Trending
2019-03-05,250.9320679,251.5975934,250.3834875,251.3997389,59114600.0,-0.0013600744453206,248.49896393500003,8.112920255135673,Trending
2019-03-06,249.4122467,251.058043,249.0884997,251.0490409,75039800.0,-0.0060567037633694,248.68917771,8.436677657229792,Trending
2019-03-07,247.3257599,249.106423,246.480384,248.9625263,94885100.0,-0.0083656148709877,248.791250615,9.020097351211815,Trending
2019-03-08,246.8311157,247.0019913,244.9964948,245.4641384,85795800.0,-0.001999970404215,248.985504915,8.282779508146081,Trending
2019-03-11,250.4104919,250.5723654,247.5236383,247.5506172,65098900.0,0.0145013167802976,249.34388733,9.606614367748097,Trending
2019-03-12,251.3547974,251.8764263,250.779238,250.9680904,79667500.0,0.0037710300907722,249.74274216,9.633748804731622,Trending
2019-03-13,253.0185547,253.9538695,252.0832399,252.2451408,80639200.0,0.0066191587238828,250.06829987,8.895478213655123,Trending
2019-03-14,252.8566895,253.4682298,252.4160247,253.0455419,67518400.0,-0.0006397364817452,250.345745855,8.89075650035442,Trending
2019-03-15,254.1059113,254.9188712,253.2206722,253.410384,81309000.0,0.0049404340556313,250.71308137,8.896867588383966,Trending
2019-03-18,255.027359,255.3254619,254.0969659,254.3227898,62199800.0,0.0036262348061322,250.99204026,8.225442572915425,Trending
2019-03-19,255.0904846,256.860935,254.1962315,256.0931563,90268100.0,0.0002475248155631,251.25257111,8.227670708757174,Trending
2019-03-20,254.3227081,256.0841445,253.2116729,254.8737324,84609200.0,-0.0030098202259638,251.44952850500005,8.341640941917179,Trending
2019-03-21,257.1951904,257.6016566,253.455536,253.5007173,79550400.0,0.0112946355496912,251.83462372,8.957459335508414,Trending
2019-03-22,252.2452087,256.3551913,252.1819715,255.8312921,122659300.0,-0.0192460119192026,251.894878385,11.416758245526307,Trending
2019-03-25,252.0554962,253.0942802,250.7908885,251.9019239,85575200.0,-0.000752095554075,251.92856674,11.414473448930625,Trending
2019-03-26,253.9343414,254.8918321,252.5252031,253.8169086,68125900.0,0.0074540933577151,252.065188595,11.696402977881984,Trending
2019-03-27,252.6064911,254.5124582,251.0528223,253.9252943,72224700.0,-0.0052291088030048,252.140813445,11.873373698426894,Trending
2019-03-28,253.5638885,254.015536,252.0824993,253.2387156,56238500.0,0.0037900744190337,252.28768996999997,11.904623905058381,Trending
2019-03-29,255.1628113,255.4879843,253.9523991,255.081518,82186800.0,0.0063057985482817,252.436271665,11.908545747487059,Trending
2019-04-01,258.1888123,258.4869151,256.8971069,257.168112,77617900.0,0.0118590988419635,252.78202133,12.433844573933305,Trending
2019-04-02,258.3153381,258.5502037,257.5204339,258.3785754,40070400.0,0.000490051442868,253.15118484,12.396908903251632,Trending
2019-04-03,258.7218018,259.9322139,258.1165819,259.5347619,68243200.0,0.0015735174805711,253.616662595,12.073303291018512,Trending
2019-04-04,259.4082947,259.6612162,258.3514548,259.0469821,48997500.0,0.0026534018208899,254.220789335,11.452951076057037,Trending
2019-04-05,260.6639404,260.7181359,259.7877429,260.076804,58621700.0,0.0048404223213145,254.91243057000003,11.360428633599263,Trending
2019-04-08,260.8626099,260.9710009,259.5799186,260.239334,53566300.0,0.0007621671785331,255.43503647000003,10.489636640248856,Trending
2019-04-09,259.5257263,260.2212537,258.9747295,259.8960806,66142300.0,-0.0051248571058631,255.843582915,10.769582648742086,Trending
2019-04-10,260.4109802,260.5013153,259.525741,259.9412491,52601500.0,0.0034110448802933,256.21320419,10.631499664941474,Trending
2019-04-11,260.3386841,260.9077644,259.7696037,260.8987227,55093100.0,-0.0002776230861863,256.58730392,10.622776991216847,Trending
2019-04-12,262.1001282,262.3801475,260.3838729,261.9555976,69727800.0,0.0067659714348227,256.987014765,10.720950846349824,Trending
2019-04-15,261.9285278,262.2717844,261.1245818,262.1724076,49596700.0,-0.0006547131479044,257.33207320500003,10.719835514834394,Trending
2019-04-16,262.1001282,262.8679346,261.5039501,262.8137391,52153200.0,0.0006551420780367,257.682555385,10.71521219023204,Trending
2019-04-17,261.4586792,263.2471852,261.0431438,263.2200874,58268300.0,-0.0024473433279303,258.03935394,10.68648423216214,Trending
2019-04-18,261.9736328,262.2446379,260.7451647,262.0459119,68708500.0,0.0019695410440212,258.27827606,10.034812450947756,Trending
2019-04-22,262.1994629,262.3530352,261.1155253,261.2058603,40160100.0,0.0008620337000571,258.77598877,6.631230326159339,Trending
2019-04-23,264.5570374,264.7919029,262.3349394,262.5697774,52246600.0,0.0089915306230019,259.40106583,6.997399470862209,Trending
2019-04-24,263.9698792,264.8099368,263.8253487,264.4757221,50392900.0,-0.0022194011762849,259.90284271999997,6.918724710255717,Trending
2019-04-25,263.8074341,264.4668497,262.615105,263.8706714,57770900.0,-0.0006153925610462,260.46288987,6.462670753327993,Trending
