Date,Close,High,Low,Open,Volume,returns,MA_20,volatility
2019-01-31,242.7572327,243.2428807,240.3650008,240.5808596,104012100.0,0.008782991360859027,234.36683349499998,0.011768941909028939
2019-02-01,242.8740845,243.8993382,242.0826663,242.9550212,85782500.0,0.0004813524964852878,235.52922287,0.009852337313097597
2019-02-04,244.5827789,244.6457389,242.2445059,242.9190061,60744800.0,0.007035309689453539,236.409218595,0.007276998171286556
2019-02-05,245.6079712,245.9137413,244.5107833,245.0144078,79552800.0,0.004191596418238408,237.25099029499998,0.007213569469938634
2019-02-06,245.2843018,245.8239075,244.5468689,245.3292849,58347800.0,-0.001317829378332469,237.969106295,0.007156652564149174
2019-02-07,242.9460297,244.2140661,241.2822568,243.6654857,95482000.0,-0.00953290562355924,238.51635131999996,0.007672984781571546
2019-02-08,243.2428436,243.3417572,240.8685889,241.6959882,75788900.0,0.0012217277243282698,239.03751678499998,0.00767145265930024
2019-02-11,243.3777008,244.1601168,242.8470972,243.8993298,68021400.0,0.0005544138442230562,239.56092911000002,0.007669428375995886
2019-02-12,246.5074005,246.8851053,244.9245642,244.9965263,72270200.0,0.012859434901851818,240.31187439,0.007756976620715884
2019-02-13,247.3077698,248.1531457,246.9210629,247.3437508,65277200.0,0.0032468368023701455,240.97018509,0.007508749023171392
2019-02-14,246.759201,247.8923704,245.4011983,246.2195953,83234400.0,-0.0022181624153726487,241.57273788499998,0.007591166301873168
2019-02-15,249.4481812,249.4841622,248.3330162,248.5398453,97088700.0,0.010897183120640808,242.22070465500002,0.007741731946917363
2019-02-19,249.8798676,250.5363636,248.6387827,248.6477848,59120800.0,0.0017305654341648324,242.73287582999995,0.007328431092978352
2019-02-20,250.3835602,250.8422293,249.3403295,249.8439543,76610800.0,0.0020157390222661498,243.43210983999998,0.006341370581703168
2019-02-21,249.4932861,250.1048268,248.530992,249.7450986,64214700.0,-0.003555641190215786,244.06210099,0.006502787863764256
2019-02-22,251.0401154,251.2379425,249.4752555,250.113775,78114600.0,0.006199883468527512,244.76313629999999,0.006530695204039716
2019-02-25,251.3817291,252.991544,251.3007924,252.4699426,69030700.0,0.0013607932718469051,245.38097458500002,0.006404095712649332
2019-02-26,251.2019043,252.0832338,250.8241721,251.0310287,56844100.0,-0.0007153455449758761,246.08065415000002,0.006002630793807982
2019-02-27,251.0939941,251.44472,249.547139,250.4824263,56921600.0,-0.0004295755651243516,246.7906807,0.005972739671603919
2019-02-28,250.626358,251.3188627,250.302611,250.8781704,69268300.0,-0.0018623946051603557,247.289815525,0.005225210181567069
2019-03-01,252.1911774,252.6048632,250.7522379,252.2091542,78880500.0,0.006243634598081638,247.76151276000002,0.005081808991543653
2019-03-04,251.273819,253.4951742,248.971527,253.252364,106494600.0,-0.003637551517295834,248.181499485,0.005224648056033164
2019-03-05,250.9320679,251.5975934,250.3834875,251.3997389,59114600.0,-0.0013600744453206026,248.49896393500003,0.005110659381330406
2019-03-06,249.4122467,251.058043,249.0884997,251.0490409,75039800.0,-0.00605670376336942,248.68917771000002,0.005314607374439357
2019-03-07,247.3257599,249.106423,246.480384,248.9625263,94885100.0,-0.008365614870987748,248.791250615,0.005682127236404506
2019-03-08,246.8311157,247.0019913,244.9964948,245.4641384,85795800.0,-0.001999970404215068,248.985504915,0.005217660653080149
2019-03-11,250.4104919,250.5723654,247.5236383,247.5506172,65098900.0,0.014501316780297646,249.34388733,0.0060515982281813775
2019-03-12,251.3547974,251.8764263,250.779238,250.9680904,79667500.0,0.003771030090772287,249.74274215999998,0.006068691316806172
2019-03-13,253.0185547,253.9538695,252.0832399,252.2451408,80639200.0,0.006619158723882856,250.06829987,0.005603624558648783
2019-03-14,252.8566895,253.4682298,252.4160247,253.0455419,67518400.0,-0.0006397364817452011,250.345745855,0.005600650158849774
2019-03-15,254.1059113,254.9188712,253.2206722,253.410384,81309000.0,0.004940434055631382,250.71308137,0.005604499782460705
2019-03-18,255.027359,255.3254619,254.0969659,254.3227898,62199800.0,0.0036262348061322225,250.99204025999998,0.005181541778899431
2019-03-19,255.0904846,256.860935,254.1962315,256.0931563,90268100.0,0.000247524815563116,251.25257111000002,0.005182945372548161
2019-03-20,254.3227081,256.0841445,253.2116729,254.8737324,84609200.0,-0.003009820225963855,251.44952850500005,0.005254739871073253
2019-03-21,257.1951904,257.6016566,253.455536,253.5007173,79550400.0,0.011294635549691234,251.83462372,0.005642668995411738
2019-03-22,252.2452087,256.3551913,252.1819715,255.8312921,122659300.0,-0.01924601191920261,251.894878385,0.007191881689573555
2019-03-25,252.0554962,253.0942802,250.7908885,251.9019239,85575200.0,-0.0007520955540750718,251.92856674,0.007190442403004839
2019-03-26,253.9343414,254.8918321,252.5252031,253.8169086,68125900.0,0.007454093357715186,252.06518859500002,0.007368041312731298
