Date,Close,High,Low,Open,Volume
,,,,,
2019-01-02,224.9953156,225.921642,221.1911376,221.2181165,126925200
2019-01-03,219.626297,223.5473926,219.1406491,223.2416087,144140700
2019-01-04,226.9828644,227.6303858,222.2883407,222.6660593,142628800
2019-01-07,228.7725372,230.1844842,226.3533271,227.2526609,103139100
2019-01-08,230.9219818,231.4076299,228.4308365,230.966965,102512600
2019-01-09,232.0011292,232.8465051,230.4003162,231.632399,95006600
2019-01-10,232.8195343,233.0713467,229.7797817,230.4632842,96823900
2019-01-11,232.9094543,232.9364333,231.1557426,231.7403041,73858100
2019-01-14,231.4884949,232.2978897,230.5981633,231.002847,70908200
2019-01-15,234.1415558,234.4563281,231.8572403,231.8662424,85208300
2019-01-16,234.7081451,235.5984768,234.3663939,234.5732231,77636700
2019-01-17,236.4888458,237.3522262,233.790844,233.8358272,96118400
2019-01-18,239.6364441,240.1041152,236.5247573,238.3054478,127900300
2019-01-22,236.39888,238.3774254,234.7800901,238.1615941,115531200
2019-01-23,236.8934631,238.1345479,234.4202958,237.4330688,86030300
2019-01-24,237.0194092,237.6039981,235.6973874,236.713639,59204100
2019-01-25,239.0249634,239.8523626,237.1183799,238.8720645,96883400
2019-01-28,237.208313,237.2712455,235.4366241,236.8755638,85613700
2019-01-29,236.8934631,237.9186892,236.0570895,237.352132,66136300
2019-01-30,240.6436615,241.4890372,237.6488928,238.4133318,92473700
2019-01-31,242.7572327,243.2428807,240.3650008,240.5808596,104012100
2019-02-01,242.8740845,243.8993382,242.0826663,242.9550212,85782500
2019-02-04,244.5827789,244.6457389,242.2445059,242.9190061,60744800
2019-02-05,245.6079712,245.9137413,244.5107833,245.0144078,79552800
2019-02-06,245.2843018,245.8239075,244.5468689,245.3292849,58347800
2019-02-07,242.9460297,244.2140661,241.2822568,243.6654857,95482000
2019-02-08,243.2428436,243.3417572,240.8685889,241.6959882,75788900
2019-02-11,243.3777008,244.1601168,242.8470972,243.8993298,68021400
2019-02-12,246.5074005,246.8851053,244.9245642,244.9965263,72270200
2019-02-13,247.3077698,248.1531457,246.9210629,247.3437508,65277200
2019-02-14,246.759201,247.8923704,245.4011983,246.2195953,83234400
2019-02-15,249.4481812,249.4841622,248.3330162,248.5398453,97088700
2019-02-19,249.8798676,250.5363636,248.6387827,248.6477848,59120800
2019-02-20,250.3835602,250.8422293,249.3403295,249.8439543,76610800
2019-02-21,249.4932861,250.1048268,248.530992,249.7450986,64214700
2019-02-22,251.0401154,251.2379425,249.4752555,250.113775,78114600
2019-02-25,251.3817291,252.991544,251.3007924,252.4699426,69030700
2019-02-26,251.2019043,252.0832338,250.8241721,251.0310287,56844100
2019-02-27,251.0939941,251.44472,249.547139,250.4824263,56921600
2019-02-28,250.626358,251.3188627,250.302611,250.8781704,69268300
2019-03-01,252.1911774,252.6048632,250.7522379,252.2091542,78880500
2019-03-04,251.273819,253.4951742,248.971527,253.252364,106494600
2019-03-05,250.9320679,251.5975934,250.3834875,251.3997389,59114600
2019-03-06,249.4122467,251.058043,249.0884997,251.0490409,75039800
2019-03-07,247.3257599,249.106423,246.480384,248.9625263,94885100
2019-03-08,246.8311157,247.0019913,244.9964948,245.4641384,85795800
2019-03-11,250.4104919,250.5723654,247.5236383,247.5506172,65098900
2019-03-12,251.3547974,251.8764263,250.779238,250.9680904,79667500
2019-03-13,253.0185547,253.9538695,252.0832399,252.2451408,80639200
2019-03-14,252.8566895,253.4682298,252.4160247,253.0455419,67518400
2019-03-15,254.1059113,254.9188712,253.2206722,253.410384,81309000
2019-03-18,255.027359,255.3254619,254.0969659,254.3227898,62199800
2019-03-19,255.0904846,256.860935,254.1962315,256.0931563,90268100
2019-03-20,254.3227081,256.0841445,253.2116729,254.8737324,84609200
2019-03-21,257.1951904,257.6016566,253.455536,253.5007173,79550400
2019-03-22,252.2452087,256.3551913,252.1819715,255.8312921,122659300
2019-03-25,252.0554962,253.0942802,250.7908885,251.9019239,85575200
2019-03-26,253.9343414,254.8918321,252.5252031,253.8169086,68125900
2019-03-27,252.6064911,254.5124582,251.0528223,253.9252943,72224700
2019-03-28,253.5638885,254.015536,252.0824993,253.2387156,56238500
2019-03-29,255.1628113,255.4879843,253.9523991,255.081518,82186800
2019-04-01,258.1888123,258.4869151,256.8971069,257.168112,77617900
2019-04-02,258.3153381,258.5502037,257.5204339,258.3785754,40070400
2019-04-03,258.7218018,259.9322139,258.1165819,259.5347619,68243200
2019-04-04,259.4082947,259.6612162,258.3514548,259.0469821,48997500
2019-04-05,260.6639404,260.7181359,259.7877429,260.076804,58621700
2019-04-08,260.8626099,260.9710009,259.5799186,260.239334,53566300
2019-04-09,259.5257263,260.2212537,258.9747295,259.8960806,66142300
2019-04-10,260.4109802,260.5013153,259.525741,259.9412491,52601500
2019-04-11,260.3386841,260.9077644,259.7696037,260.8987227,55093100
2019-04-12,262.1001282,262.3801475,260.3838729,261.9555976,69727800
2019-04-15,261.9285278,262.2717844,261.1245818,262.1724076,49596700
2019-04-16,262.1001282,262.8679346,261.5039501,262.8137391,52153200
2019-04-17,261.4586792,263.2471852,261.0431438,263.2200874,58268300
2019-04-18,261.9736328,262.2446379,260.7451647,262.0459119,68708500
2019-04-22,262.1994629,262.3530352,261.1155253,261.2058603,40160100
2019-04-23,264.5570374,264.7919029,262.3349394,262.5697774,52246600
2019-04-24,263.9698792,264.8099368,263.8253487,264.4757221,50392900
2019-04-25,263.8074341,264.4668497,262.615105,263.8706714,57770900
2019-04-26,265.0358582,265.1081096,263.0756954,263.8525436,50916400
2019-04-29,265.4512939,265.9752205,265.035786,265.126121,57197700
2019-04-30,265.586853,265.8759141,263.6899551,265.1081077,81111700
2019-05-01,263.5904846,266.4268439,263.5814428,266.2190761,71671900
2019-05-02,263.0214233,264.3944493,261.5219504,263.4730708,65030200
2019-05-03,265.5958862,265.8759055,263.1298804,264.5029068,56543700
2019-05-06,264.5028687,264.9454744,260.9619399,261.2780986,107198100
2019-05-07,260.0857544,262.6872487,258.1707732,262.0910706,144729900
2019-05-08,259.7244568,261.4407121,259.1282787,259.7244568,91568300
2019-05-09,258.9385376,259.5437298,255.9034522,257.6468324,103471100
2019-05-10,260.2392273,260.9979916,255.0001011,257.9990464,112429300
2019-05-13,253.6993866,256.0750565,252.859329,255.108552,127290500
2019-05-14,255.9937897,257.5294022,254.5936935,254.7201405,77003200
2019-05-15,257.4932861,258.1346179,254.1510834,254.3588512,73956400
2019-05-16,259.8780212,261.2419781,258.1256265,258.197878,76749600
2019-05-17,258.197876,260.6909794,257.5475024,257.5655859,100353000
2019-05-20,256.4906921,258.3062968,255.7409417,256.5900414,62877600
2019-05-21,258.803009,259.1823774,257.9358262,258.1887476,46847100
2019-05-22,258.0081482,258.9656387,257.529403,257.8455617,49482500
2019-05-23,254.8556061,255.8221106,253.4374266,255.7769568,98733800
2019-05-24,255.4337158,256.7164066,254.8104402,256.3008712,55268100
2019-05-28,253.0581055,256.6712857,253.0400495,255.7137951,70029400
2019-05-29,251.3599091,252.3444974,249.950771,251.9380311,104972900
2019-05-30,252.046524,252.9588613,250.9445025,252.1187756,62523800
2019-05-31,248.6500702,250.3211719,248.6229724,249.4901557,86862800
2019-06-03,248.0177307,249.8062373,246.6808441,248.6861602,96428000
2019-06-04,253.4013824,253.5368712,249.8694952,250.3211427,77231900
2019-06-05,255.5963287,255.6234265,253.2116444,255.0272485,71169700
2019-06-06,257.2584534,257.9359247,255.2441228,255.8944964,69430400
2019-06-07,259.8328247,260.9167898,258.1075278,258.2791561,74272200
2019-06-10,261.025238,262.6963398,260.934903,261.3865506,60799100
2019-06-11,260.9620056,263.2202439,260.3116319,262.8498895,58641300
2019-06-12,260.5012512,261.2871134,259.9863665,260.727075,47096300
2019-06-13,261.5762329,261.9375731,260.7090772,261.4136464,48945200
2019-06-14,261.2871094,261.8923016,260.5193031,261.2871094,52324700
2019-06-17,261.3864746,262.1542809,261.2148464,261.5219633,39205700
